latitude,longitude,roof_area_sqm,annual_ghi,avg_temperature,system_size_kw,tilt_angle,annual_generation_kwh
18.1126,79.4154,44.3,1898.94,29.15,6.64,17.8,9416.9
33.6693,81.7296,47.6,1647.94,23.25,8.13,26.3,11539.42
27.7638,92.7819,38.0,1875.36,29.07,6.75,23.1,10027.63
24.1638,77.8601,41.9,1815.14,28.74,7.13,15.1,9418.04
12.2125,93.2198,55.7,2213.19,29.85,8.97,9.4,15970.28
12.2119,70.5559,346.1,2118.5,29.57,49.84,7.3,82575.84
9.5683,90.5272,125.5,2178.62,34.17,21.53,7.2,36104.58
31.3868,92.5789,323.9,1756.77,22.05,62.4,33.0,85570.96
24.2301,73.2727,109.4,1969.69,28.99,13.18,28.9,20060.97
27.118,80.48,139.9,1918.53,26.48,18.29,29.2,24193.18
8.5558,72.7995,25.9,2216.8,35.08,3.36,12.1,5879.09
34.1876,88.4915,22.9,1773.81,21.8,4.45,41.5,5051.04
30.476,83.5251,119.1,1778.47,28.37,20.6,38.0,26949.8
13.7332,86.4244,438.0,2140.18,38.11,85.91,20.9,122346.13
12.9093,73.6981,45.5,2084.6,32.23,7.58,6.0,11425.84
12.9519,74.1406,39.2,2111.04,33.48,6.16,8.0,9617.05
16.2145,69.2034,133.3,2030.17,31.5,24.45,16.3,35449.37
22.1684,77.34,41.0,1908.39,28.1,5.45,19.3,6841.9
19.6625,84.2326,22.6,1934.95,28.09,3.4,12.3,5007.41
15.8632,92.8801,126.2,2095.88,29.29,19.85,11.6,34772.07
24.52,87.3409,67.9,2007.49,25.29,9.77,34.0,14583.62
11.7663,80.6265,73.7,2225.89,34.12,11.03,8.7,19159.47
15.8879,95.6405,288.1,1957.49,30.41,36.38,14.3,58147.78
17.8918,88.8581,81.5,2125.08,25.39,11.06,8.0,16074.43
20.3139,94.9748,82.2,1952.9,30.35,12.07,24.7,17349.58
29.1998,83.3001,25.1,1866.46,25.38,4.61,27.5,6240.93
13.3912,75.5082,28.8,2030.46,35.27,3.88,5.5,5520.41
21.8843,69.532,52.0,1961.44,29.5,7.68,31.3,12168.33
23.9952,89.0565,34.2,1937.18,24.84,4.28,29.5,6434.56
9.2542,71.5178,43.1,2058.66,29.98,7.09,13.8,11440.88
24.4037,76.7805,45.9,1953.39,26.18,7.75,33.6,11404.61
12.6042,83.4417,44.6,2224.8,31.68,8.44,10.8,13317.91
9.7564,84.3681,32.5,2154.41,36.1,6.03,14.1,9880.37
33.6199,85.4169,123.0,1847.66,23.45,17.57,27.7,26596.45
34.0721,72.8214,28.6,1715.53,25.53,3.75,38.0,5026.48
29.8267,79.0124,21.7,1875.09,22.53,2.87,20.1,4216.13
16.2246,85.8986,117.6,1874.47,33.23,23.23,8.8,30127.35
10.6371,96.1247,377.1,2346.03,35.26,65.56,9.1,118579.39
26.4743,89.1013,44.0,1987.1,22.65,5.44,16.7,8817.78
19.8841,94.7555,111.6,1963.32,32.3,14.61,19.1,22109.3
11.295,90.1041,65.7,1982.92,33.7,10.44,11.8,14165.58
21.3698,85.1598,135.3,1982.39,29.77,18.49,23.8,30117.34
